,AltimetriaNorm,AmplitudeNorm,concavoConvNorm,CurvaturaNegativaNorm,CurvaturaPositivaNorm,DeclividadeNorm,GeomIgualA1,GeomIgualA2,GeomIgualA3,GeomIgualA4,GeomIgualA5,GeomIgualA6,GeomIgualA7,GeomIgualA8,OrientacaoEncosta=1,OrientacaoEncosta=2,OrientacaoEncosta=3,OrientacaoEncosta=4,OrientacaoEncosta=5,OrientacaoEncosta=6,OrientacaoEncosta=7,OrientacaoEncosta=8,OrientacaoEncosta=9,UsoSolo=1,UsoSolo=2,UsoSolo=3,UsoSolo=4,UsoSolo=5,positivoDeRisco
0,0.17328519855595667,0.125,0.00043821531329886677,0.8589178356713427,0.36013035022888407,0.45454545454545453,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0.3176895306859206,0.0625,0.010605649936701293,0.8761158680881763,0.12023429820021679,0.2727272727272727,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,0.21660649819494585,0.0625,0.0004100618166589641,0.8417819244889779,0.1647655197009308,0.7272727272727273,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.036101083032490974,0.0625,7.438549835353044e-05,0.9515475395270542,0.047182853346659566,0.18181818181818182,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4,0.24548736462093862,0.0625,0.0009091465507056512,0.8939417296032064,0.2283650103283266,0.36363636363636365,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5,0.21660649819494585,0.25,0.01591459522827857,0.9038076152304609,0.34291823791185405,0.5454545454545454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
6,0.3104693140794224,0.125,0.00201481118932339,0.8440517398316633,0.4024986267700142,0.5454545454545454,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
7,0.07220216606498195,0.25,0.007264355696372928,0.9238476953907816,0.0585980598612905,0.09090909090909091,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
8,0.2743682310469314,0.5,0.033771956669419394,0.8861723446893788,0.3809492446901428,0.5454545454545454,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9,0.4693140794223827,0.0625,0.0007673946736999088,0.9093043229178357,0.277610741978679,0.2727272727272727,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
10,0.036101083032490974,0.0625,0.0020992716826215177,0.8325539968897796,0.2180720114212163,0.5454545454545454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
11,0.04332129963898917,0.5,0.023636697473644077,0.7946531360641282,0.02780418145231249,0.8181818181818182,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
12,0.036101083032490974,0.125,0.005055388948055986,0.8824315297154308,0.060117149100108395,0.36363636363636365,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,0.05415162454873646,0.0625,0.0028031091256464414,0.9218436873747495,0.11622648826515254,0.09090909090909091,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
14,0.018050541516245487,0.25,0.0013015892462923586,0.8346916054188377,0.19771862368560364,0.5454545454545454,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
15,0.18050541516245489,0.125,0.00025803292872233433,0.9283673730501001,0.05261866594795947,0.45454545454545453,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
16,0.18050541516245489,0.5,0.011249158455459209,0.9679358717434869,0.21532370658655106,0.45454545454545453,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
17,0.11191335740072202,0.5,0.0004703907409259724,0.9205076820200401,0.059315587098266655,0.45454545454545453,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
18,0.3249097472924188,0.25,0.02138441765123453,0.8761968381242485,0.21881664751267502,0.36363636363636365,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
19,0.01444043321299639,0.125,0.0001864899212433945,0.8285637942444889,0.29657793549133327,0.8181818181818182,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
20,0.07220216606498195,0.25,0.000591048589459989,0.8858322705891783,0.07414448387283332,0.5454545454545454,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
21,0.1444043321299639,0.0625,0.011570912718216586,0.9679358717434869,0.03468048435625535,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
22,0.1263537906137184,0.0625,0.00384881047285108,0.886832488496994,0.16806083013647033,0.2727272727272727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
23,0.5054151624548736,0.0625,0.0028031091256464414,0.8848606303486973,0.32041009099011064,0.5454545454545454,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
24,0.33574007220216606,0.5,0.0012162756175514264,0.8501188423246493,0.40985423031352736,0.7272727272727273,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25,0.4007220216606498,0.125,0.00024763779134552013,0.820440881763527,0.4201520753041036,0.6363636363636364,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
